Pinyin	Bopomofo	IPA	Wade-Giles	GR	Simp.GR	MPS2	Tongyong	Yale
zhǎ	ㄓㄚˇ	t͡ʂa˨˩˦	cha³	jaa	jaa	jǎ	jhǎ	jǎ
zhà	ㄓㄚˋ	t͡ʂa˥˩	cha⁴	jah	jah	jà	jhà	jà
zha	˙ㄓㄚ	t͡ʂa	cha⁵	.ja	'ja	ja	jhå	ja
zhāi	ㄓㄞ	t͡ʂaɪ˥	chai¹	jai	jai	jāi	jhai	jāi
zhái	ㄓㄞˊ	t͡ʂaɪ˧˥	chai²	jair	jair	jái	jhái	jái
zhǎi	ㄓㄞˇ	t͡ʂaɪ˨˩˦	chai³	jae	jaii	jǎi	jhǎi	jǎi
zhài	ㄓㄞˋ	t͡ʂaɪ˥˩	chai⁴	jay	jaih	jài	jhài	jài
zhai	˙ㄓㄞ	t͡ʂaɪ	chai⁵	.jai	'jai	jai	jhåi	jai
zhān	ㄓㄢ	t͡ʂan˥	chan¹	jan	jan	jān	jhan	jān
zhán	ㄓㄢˊ	t͡ʂan˧˥	chan²	jarn	jarn	ján	jhán	ján
zhǎn	ㄓㄢˇ	t͡ʂan˨˩˦	chan³	jaan	jaan	jǎn	jhǎn	jǎn
zhàn	ㄓㄢˋ	t͡ʂan˥˩	chan⁴	jann	jahn	jàn	jhàn	jàn
zhan	˙ㄓㄢ	t͡ʂan	chan⁵	.jan	'jan	jan	jhån	jan
zhāng	ㄓㄤ	t͡ʂɑŋ˥	chang¹	jang	jang	jāng	jhang	jāng
zháng	ㄓㄤˊ	t͡ʂɑŋ˧˥	chang²	jarng	jarng	jáng	jháng	jáng
zhǎng	ㄓㄤˇ	t͡ʂɑŋ˨˩˦	chang³	jaang	jaang	jǎng	jhǎng	jǎng
zhàng	ㄓㄤˋ	t͡ʂɑŋ˥˩	chang⁴	janq	jahng	jàng	jhàng	jàng
zhang	˙ㄓㄤ	t͡ʂɑŋ	chang⁵	.jang	'jang	jang	jhång	jang
zhāo	ㄓㄠ	t͡ʂɑʊ˥	chao¹	jau	jau	jāu	jhao	jāu
zháo	ㄓㄠˊ	t͡ʂɑʊ˧˥	chao²	jaur	jaur	jáu	jháo	jáu
zhǎo	ㄓㄠˇ	t͡ʂɑʊ˨˩˦	chao³	jao	jaau	jǎu	jhǎo	jǎu
zhào	ㄓㄠˋ	t͡ʂɑʊ˥˩	chao⁴	jaw	jauh	jàu	jhào	jàu
zhao	˙ㄓㄠ	t͡ʂɑʊ	chao⁵	.jau	'jau	jau	jhåo	jau
zhē	ㄓㄜ	t͡ʂɤ˥	che¹	je	je	jē	jhe	jē
zhé	ㄓㄜˊ	t͡ʂɤ˧˥	che²	jer	jer	jé	jhé	jé
zhě	ㄓㄜˇ	t͡ʂɤ˨˩˦	che³	jee	jee	jě	jhě	jě
zhè	ㄓㄜˋ	t͡ʂɤ˥˩	che⁴	jeh	jeh	jè	jhè	jè
zhe	˙ㄓㄜ	t͡ʂɤ	che⁵	.je	'je	je	jhe̊	je
zhēi	ㄓㄟ	t͡ʂeɪ˥	chei¹	jei	jei	jēi	jhei	jēi
zhéi	ㄓㄟˊ	t͡ʂeɪ˧˥	chei²	jeir	jeir	jéi	jhéi	jéi
zhěi	ㄓㄟˇ	t͡ʂeɪ˨˩˦	chei³	jeei	jeii	jěi	jhěi	jěi
zhèi	ㄓㄟˋ	t͡ʂeɪ˥˩	chei⁴	jey	jeih	jèi	jhèi	jèi
zhei	˙ㄓㄟ	t͡ʂeɪ	chei⁵	.jei	'jei	jei	jhe̊i	jei
zhēn	ㄓㄣ	t͡ʂən˥	chen¹	jen	jen	jēn	jhen	jēn
zhén	ㄓㄣˊ	t͡ʂən˧˥	chen²	jern	jern	jén	jhén	jén
zhěn	ㄓㄣˇ	t͡ʂən˨˩˦	chen³	jeen	jeen	jěn	jhěn	jěn
zhèn	ㄓㄣˋ	t͡ʂən˥˩	chen⁴	jenn	jehn	jèn	jhèn	jèn
zhen	˙ㄓㄣ	t͡ʂən	chen⁵	.jen	'jen	jen	jhe̊n	jen
zhēng	ㄓㄥ	t͡ʂɤŋ˥	cheng¹	jeng	jeng	jēng	jheng	jēng
zhéng	ㄓㄥˊ	t͡ʂɤŋ˧˥	cheng²	jerng	jerng	jéng	jhéng	jéng
zhěng	ㄓㄥˇ	t͡ʂɤŋ˨˩˦	cheng³	jeeng	jeeng	jěng	jhěng	jěng
zhèng	ㄓㄥˋ	t͡ʂɤŋ˥˩	cheng⁴	jenq	jehng	jèng	jhèng	jèng
zheng	˙ㄓㄥ	t͡ʂɤŋ	cheng⁵	.jeng	'jeng	jeng	jhe̊ng	jeng
zhī	ㄓ	t͡ʂɻ̍˥	chih¹	jy	jy	jr̄	jhih	jr̄
zhí	ㄓˊ	t͡ʂɻ̍˧˥	chih²	jyr	jyr	jŕ	jhíh	jŕ
zhǐ	ㄓˇ	t͡ʂɻ̍˨˩˦	chih³	jyy	jyy	jř	jhǐh	jř
zhì	ㄓˋ	t͡ʂɻ̍˥˩	chih⁴	jyh	jyh	jr̀	jhìh	jr̀
zhi	˙ㄓ	t͡ʂɻ̍	chih⁵	.jy	'jy	jr	jhi̊h	jr
zhōng	ㄓㄨㄥ	t͡ʂʊŋ˥	chung¹	jong	jung	jūng	jhong	jūng
zhóng	ㄓㄨㄥˊ	t͡ʂʊŋ˧˥	chung²	jorng	jurng	júng	jhóng	júng
zhǒng	ㄓㄨㄥˇ	t͡ʂʊŋ˨˩˦	chung³	joong	juung	jǔng	jhǒng	jǔng
zhòng	ㄓㄨㄥˋ	t͡ʂʊŋ˥˩	chung⁴	jonq	juhng	jung	jhòng	jùng
zhong	˙ㄓㄨㄥ	t͡ʂʊŋ	chung⁵	.jong	'jong	jùng	jho̊ng	jung
zhōu	ㄓㄡ	t͡ʂoʊ˥	chou¹	jou	jou	jōu	jhou	jōu
zhóu	ㄓㄡˊ	t͡ʂoʊ˧˥	chou²	jour	jour	jóu	jhóu	jóu
zhǒu	ㄓㄡˇ	t͡ʂoʊ˨˩˦	chou³	joou	joou	jǒu	jhǒu	jǒu
zhòu	ㄓㄡˋ	t͡ʂoʊ˥˩	chou⁴	jow	jouh	jòu	jhòu	jòu
zhou	˙ㄓㄡ	t͡ʂoʊ	chou⁵	.jou	'jou	jou	jho̊u	jou
zhū	ㄓㄨ	t͡ʂu˥	chu¹	ju	ju	jū	jhu	jū
zhú	ㄓㄨˊ	t͡ʂu˧˥	chu²	jwu	jur	jú	jhú	jú
zhǔ	ㄓㄨˇ	t͡ʂu˨˩˦	chu³	juu	juu	jǔ	jhǔ	jǔ
zhù	ㄓㄨˋ	t͡ʂu˥˩	chu⁴	juh	juh	jù	jhù	jù
zhu	˙ㄓㄨ	t͡ʂu	chu⁵	.ju	'ju	ju	jhů	ju
zhuā	ㄓㄨㄚ	t͡ʂwa˥	chua¹	jua	jua	juā	jhua	jwā
zhuá	ㄓㄨㄚˊ	t͡ʂwa˧˥	chua²	jwa	juar	juá	jhuá	jwá
zhuǎ	ㄓㄨㄚˇ	t͡ʂwa˨˩˦	chua³	joa	juaa	juǎ	jhuǎ	jwǎ
zhuà	ㄓㄨㄚˋ	t͡ʂwa˥˩	chua⁴	juah	juah	juà	jhuà	jwà
zhua	˙ㄓㄨㄚ	t͡ʂwa	chua⁵	.jua	'jua	jua	jhuå	jwa
zhuāi	ㄓㄨㄞ	t͡ʂwaɪ˥	chuai¹	juai	juai	juāi	jhuai	jwāi
zhuái	ㄓㄨㄞˊ	t͡ʂwaɪ˧˥	chuai²	jwai	juair	juái	jhuái	jwái
zhuǎi	ㄓㄨㄞˇ	t͡ʂwaɪ˨˩˦	chuai³	joai	juaii	juǎi	jhuǎi	jwǎi
zhuài	ㄓㄨㄞˋ	t͡ʂwaɪ˥˩	chuai⁴	juay	juaih	juài	jhuài	jwài
zhuai	˙ㄓㄨㄞ	t͡ʂwaɪ	chuai⁵	.juai	'juai	juai	jhuåi	jwai
zhuān	ㄓㄨㄢ	t͡ʂwan˥	chuan¹	juan	juan	juān	jhuan	jwān
zhuán	ㄓㄨㄢˊ	t͡ʂwan˧˥	chuan²	jwan	juarn	juán	jhuán	jwán
zhuǎn	ㄓㄨㄢˇ	t͡ʂwan˨˩˦	chuan³	joan	juaan	juǎn	jhuǎn	jwǎn
zhuàn	ㄓㄨㄢˋ	t͡ʂwan˥˩	chuan⁴	juann	juahn	juàn	jhuàn	jwàn
zhuan	˙ㄓㄨㄢ	t͡ʂwan	chuan⁵	.juan	'juan	juan	jhuån	jwan
zhuāng	ㄓㄨㄤ	t͡ʂwɑŋ˥	chuang¹	juang	juang	juāng	jhuang	jwāng
zhuáng	ㄓㄨㄤˊ	t͡ʂwɑŋ˧˥	chuang²	jwang	juarng	juáng	jhuáng	jwáng
zhuǎng	ㄓㄨㄤˇ	t͡ʂwɑŋ˨˩˦	chuang³	joang	juaang	juǎng	jhuǎng	jwǎng
zhuàng	ㄓㄨㄤˋ	t͡ʂwɑŋ˥˩	chuang⁴	juanq	juahng	juàng	jhuàng	jwàng
zhuang	˙ㄓㄨㄤ	t͡ʂwɑŋ	chuang⁵	.juang	'juang	juang	jhuång	jwang
zhuī	ㄓㄨㄟ	t͡ʂweɪ˥	chui¹	juei	jui	juēi	jhuei	jwēi
zhuí	ㄓㄨㄟˊ	t͡ʂweɪ˧˥	chui²	jwei	juir	juéi	jhuéi	jwéi
zhuǐ	ㄓㄨㄟˇ	t͡ʂweɪ˨˩˦	chui³	joei	juii	juěi	jhuěi	jwěi
zhuì	ㄓㄨㄟˋ	t͡ʂweɪ˥˩	chui⁴	juey	juih	juèi	jhuèi	jwèi
zhui	˙ㄓㄨㄟ	t͡ʂweɪ	chui⁵	.juei	'jui	juei	jhue̊i	jwei
zhūn	ㄓㄨㄣ	t͡ʂwən˥	chun¹	juen	jun	juēn	jhun	jwēn
zhún	ㄓㄨㄣˊ	t͡ʂwən˧˥	chun²	jwen	jurn	juén	jhún	jwén
zhǔn	ㄓㄨㄣˇ	t͡ʂwən˨˩˦	chun³	joen	juun	juěn	jhǔn	jwěn
zhùn	ㄓㄨㄣˋ	t͡ʂwən˥˩	chun⁴	juenn	juhn	juèn	jhùn	jwèn
zhun	˙ㄓㄨㄣ	t͡ʂwən	chun⁵	.juen	'jun	juen	jhůn	jwen
zhuō	ㄓㄨㄛ	t͡ʂwo˥	cho¹	juo	juo	juō	jhuo	jwō
zhuó	ㄓㄨㄛˊ	t͡ʂwo˧˥	cho²	jwo	juor	juó	jhuó	jwó
zhuǒ	ㄓㄨㄛˇ	t͡ʂwo˨˩˦	cho³	juoo	juoo	juǒ	jhuǒ	jwǒ
zhuò	ㄓㄨㄛˋ	t͡ʂwo˥˩	cho⁴	juoh	juoh	juò	jhuò	jwò
zhuo	˙ㄓㄨㄛ	t͡ʂwo	cho⁵	.juo	'juo	juo	jhuo̊	jwo
zī	ㄗ	t͡sɹ̩˥	tzu¹	tzy	tzy	tz̄	zih	dz̄
zí	ㄗˊ	t͡sɹ̩˧˥	tzu²	tzyr	tzyr	tź	zíh	dź
zǐ	ㄗˇ	t͡sɹ̩˨˩˦	tzu³	tzyy	tzyy	tž	zǐh	dž
zì	ㄗˋ	t͡sɹ̩˥˩	tzu⁴	tzyh	tzyh	tz̀	zìh	dz̀
zi	˙ㄗ	t͡sɹ̩	tzu⁵	.tzy	'tzy	tz	zi̊h	dz
zōng	ㄗㄨㄥ	t͡sʊŋ˥	tsung¹	tzong	tzung	tzūng	zong	dzūng
zóng	ㄗㄨㄥˊ	t͡sʊŋ˧˥	tsung²	tzorng	tzurng	tzúng	zóng	dzúng
zǒng	ㄗㄨㄥˇ	t͡sʊŋ˨˩˦	tsung³	tzoong	tzuung	tzǔng	zǒng	dzǔng
zòng	ㄗㄨㄥˋ	t͡sʊŋ˥˩	tsung⁴	tzonq	tzuhng	tzùng	zòng	dzùng
zong	˙ㄗㄨㄥ	t͡sʊŋ	tsung⁵	.tzong	'tzong	tzung	zo̊ng	dzung
zōu	ㄗㄡ	t͡soʊ˥	tsou¹	tzou	tzou	tzōu	zou	dzōu
zóu	ㄗㄡˊ	t͡soʊ˧˥	tsou²	tzour	tzour	tzóu	zóu	dzóu
zǒu	ㄗㄡˇ	t͡soʊ˨˩˦	tsou³	tzoou	tzoou	tzǒu	zǒu	dzǒu
zòu	ㄗㄡˋ	t͡soʊ˥˩	tsou⁴	tzow	tzouh	tzòu	zòu	dzòu
zou	˙ㄗㄡ	t͡soʊ	tsou⁵	.tzou	'tzou	tzou	zo̊u	dzou
zū	ㄗㄨ	t͡su˥	tsu¹	tzu	tzu	tzū	zu	dzū
zú	ㄗㄨˊ	t͡su˧˥	tsu²	tzwu	tzur	tzú	zú	dzú
zǔ	ㄗㄨˇ	t͡su˨˩˦	tsu³	tzuu	tzuu	tzǔ	zǔ	dzǔ
zù	ㄗㄨˋ	t͡su˥˩	tsu⁴	tzuh	tzuh	tzù	zù	dzù
zu	˙ㄗㄨ	t͡su	tsu⁵	.tzu	'tzu	tzu	zů	dzu
zuān	ㄗㄨㄢ	t͡swan˥	tsuan¹	tzuan	tzuan	tzuān	zuan	dzwān
zuán	ㄗㄨㄢˊ	t͡swan˧˥	tsuan²	tzwan	tzuarn	tzuán	zuán	dzwán
zuǎn	ㄗㄨㄢˇ	t͡swan˨˩˦	tsuan³	tzoan	tzuaan	tzuǎn	zuǎn	dzwǎn
zuàn	ㄗㄨㄢˋ	t͡swan˥˩	tsuan⁴	tzuann	tzuahn	tzuàn	zuàn	dzwàn
zuan	˙ㄗㄨㄢ	t͡swan	tsuan⁵	.tzuan	'tzuan	tzuan	zuån	dzwan
zuī	ㄗㄨㄟ	t͡sweɪ˥	tsui¹	tzuei	tzui	tzuēi	zuei	dzwēi
zuí	ㄗㄨㄟˊ	t͡sweɪ˧˥	tsui²	tzwei	tzuir	tzuéi	zuéi	dzwéi
zuǐ	ㄗㄨㄟˇ	t͡sweɪ˨˩˦	tsui³	tzoei	tzuii	tzuěi	zuěi	dzwěi
zuì	ㄗㄨㄟˋ	t͡sweɪ˥˩	tsui⁴	tzuey	tzuih	tzuèi	zuèi	dzwèi
zui	˙ㄗㄨㄟ	t͡sweɪ	tsui⁵	.tzuei	'tzui	tzuei	zue̊i	dzwei
zūn	ㄗㄨㄣ	t͡swən˥	tsun¹	tzuen	tzun	tzuēn	zun	dzwēn
zún	ㄗㄨㄣˊ	t͡swən˧˥	tsun²	tzwen	tzurn	tzuén	zún	dzwén
zǔn	ㄗㄨㄣˇ	t͡swən˨˩˦	tsun³	tzoen	tzuun	tzuěn	zǔn	dzwěn
zùn	ㄗㄨㄣˋ	t͡swən˥˩	tsun⁴	tzuenn	tzuhn	tzuèn	zùn	dzwèn
zun	˙ㄗㄨㄣ	t͡swən	tsun⁵	.tzuen	'tzun	tzuen	zůn	dzwen
zuō	ㄗㄨㄛ	t͡swo˥	tso¹	tzuo	tzuo	tzuō	zuo	dzwō
zuó	ㄗㄨㄛˊ	t͡swo˧˥	tso²	tzwo	tzuor	tzuó	zuó	dzwó
zuǒ	ㄗㄨㄛˇ	t͡swo˨˩˦	tso³	tzuoo	tzuoo	tzuǒ	zuǒ	dzwǒ
zuò	ㄗㄨㄛˋ	t͡swo˥˩	tso⁴	tzuoh	tzuoh	tzuò	zuò	dzwò
zuo	˙ㄗㄨㄛ	t͡swo	tso⁵	.tzuo	'tzuo	tzuo	zuo̊	dzwo
