Pinyin	Bopomofo	IPA	Wade-Giles	GR	Simp.GR	MPS2	Tongyong	Yale
qǐn	ㄑㄧㄣˇ	t͡ɕʰin˨˩˦	ch'in³	chiin	chiin	chǐn	cǐn	chǐn
qìn	ㄑㄧㄣˋ	t͡ɕʰin˥˩	ch'in⁴	chinn	chihn	chìn	cìn	chìn
qin	˙ㄑㄧㄣ	t͡ɕʰin	ch'in⁵	.chin	'chin	chin	ci̊n	chin
qīng	ㄑㄧㄥ	t͡ɕʰiŋ˥	ch'ing¹	ching	ching	chīng	cing	chīng
qíng	ㄑㄧㄥˊ	t͡ɕʰiŋ˧˥	ch'ing²	chyng	chirng	chíng	cíng	chíng
qǐng	ㄑㄧㄥˇ	t͡ɕʰiŋ˨˩˦	ch'ing³	chiing	chiing	chǐng	cǐng	chǐng
qìng	ㄑㄧㄥˋ	t͡ɕʰiŋ˥˩	ch'ing⁴	chinq	chihng	chìng	cìng	chìng
qing	˙ㄑㄧㄥ	t͡ɕʰiŋ	ch'ing⁵	.ching	'ching	ching	ci̊ng	ching
qiōng	ㄑㄩㄥ	t͡ɕʰjʊŋ˥	ch'iung¹	chiong	chyung	chiūng	cyong	chyūng
qióng	ㄑㄩㄥˊ	t͡ɕʰjʊŋ˧˥	ch'iung²	chyong	chyurng	chiúng	cyóng	chyúng
qiǒng	ㄑㄩㄥˇ	t͡ɕʰjʊŋ˨˩˦	ch'iung³	cheong	chyuung	chiǔng	cyǒng	chyǔng
qiòng	ㄑㄩㄥˋ	t͡ɕʰjʊŋ˥˩	ch'iung⁴	chionq	chyuhng	chiùng	cyòng	chyùng
qiong	˙ㄑㄩㄥ	t͡ɕʰjʊŋ	ch'iung⁵	.chiong	'chiong	chiung	cyo̊ng	chyung
qiū	ㄑㄧㄡ	t͡ɕʰjoʊ˥	ch'iu¹	chiou	chiu	chiū	ciou	chyōu
qiú	ㄑㄧㄡˊ	t͡ɕʰjoʊ˧˥	ch'iu²	chyou	chiur	chiú	cióu	chyóu
qiǔ	ㄑㄧㄡˇ	t͡ɕʰjoʊ˨˩˦	ch'iu³	cheou	chiuu	chiǔ	ciǒu	chyǒu
qiù	ㄑㄧㄡˋ	t͡ɕʰjoʊ˥˩	ch'iu⁴	chiow	chiuh	chiù	ciòu	chyòu
qiu	˙ㄑㄧㄡ	t͡ɕʰjoʊ	ch'iu⁵	.chiou	'chiu	chiu	cio̊u	chyou
qū	ㄑㄩ	t͡ɕʰy˥	ch'ü¹	chiu	chu	chū	cyu	chyū
qú	ㄑㄩˊ	t͡ɕʰy˧˥	ch'ü²	chyu	chur	chú	cyú	chyú
qǔ	ㄑㄩˇ	t͡ɕʰy˨˩˦	ch'ü³	cheu	chuu	chǔ	cyǔ	chyǔ
qù	ㄑㄩˋ	t͡ɕʰy˥˩	ch'ü⁴	chiuh	chuh	chù	cyù	chyù
qu	˙ㄑㄩ	t͡ɕʰy	ch'ü⁵	.chiu	'chu	chu	cyů	chyu
quān	ㄑㄩㄢ	t͡ɕʰɥæn˥	ch'üan¹	chiuan	chuan	chiuān	cyuan	chywān
quán	ㄑㄩㄢˊ	t͡ɕʰɥæn˧˥	ch'üan²	chyuan	chuarn	chiuán	cyuán	chywán
quǎn	ㄑㄩㄢˇ	t͡ɕʰɥæn˨˩˦	ch'üan³	cheuan	chuaan	chiuǎn	cyuǎn	chywǎn
quàn	ㄑㄩㄢˋ	t͡ɕʰɥæn˥˩	ch'üan⁴	chiuann	chuahn	chiuàn	cyuàn	chywàn
quan	˙ㄑㄩㄢ	t͡ɕʰɥæn	ch'üan⁵	.chiuan	'chuan	chiuan	cyuån	chywan
quē	ㄑㄩㄝ	t͡ɕʰɥɛ˥	ch'üeh¹	chiue	chue	chiuē	cyue	chywē
qué	ㄑㄩㄝˊ	t͡ɕʰɥɛ˧˥	ch'üeh²	chyue	chuer	chiué	cyué	chywé
quě	ㄑㄩㄝˇ	t͡ɕʰɥɛ˨˩˦	ch'üeh³	cheue	chuee	chiuě	cyuě	chywě
què	ㄑㄩㄝˋ	t͡ɕʰɥɛ˥˩	ch'üeh⁴	chiueh	chueh	chiuè	cyuè	chywè
que	˙ㄑㄩㄝ	t͡ɕʰɥɛ	ch'üeh⁵	.chiue	'chue	chiue	cyue̊	chywe
qūn	ㄑㄩㄣ	t͡ɕʰyn˥	ch'ün¹	chiun	chun	chiūn	cyun	chyūn
qún	ㄑㄩㄣˊ	t͡ɕʰyn˧˥	ch'ün²	chyun	churn	chiún	cyún	chyún
qǔn	ㄑㄩㄣˇ	t͡ɕʰyn˨˩˦	ch'ün³	cheun	chuun	chiǔn	cyǔn	chyǔn
qùn	ㄑㄩㄣˋ	t͡ɕʰyn˥˩	ch'ün⁴	chiunn	chuhn	chiùn	cyùn	chyùn
qun	˙ㄑㄩㄣ	t͡ɕʰyn	ch'ün⁵	.chiun	'chun	chiun	cyůn	chyun
rān	ㄖㄢ	ɻan˥	jan¹	rhan	ran	rān	ran	rān
rán	ㄖㄢˊ	ɻan˧˥	jan²	ran	rarn	rán	rán	rán
rǎn	ㄖㄢˇ	ɻan˨˩˦	jan³	raan	raan	rǎn	rǎn	rǎn
ràn	ㄖㄢˋ	ɻan˥˩	jan⁴	rann	rahn	ràn	ràn	ràn
ran	˙ㄖㄢ	ɻan	jan⁵	.rhan	'ran	ran	rån	ran
rāng	ㄖㄤ	ɻɑŋ˥	jang¹	rhang	rang	rāng	rang	rāng
ráng	ㄖㄤˊ	ɻɑŋ˧˥	jang²	rang	rarng	ráng	ráng	ráng
rǎng	ㄖㄤˇ	ɻɑŋ˨˩˦	jang³	raang	raang	rǎng	rǎng	rǎng
ràng	ㄖㄤˋ	ɻɑŋ˥˩	jang⁴	ranq	rahng	ràng	ràng	ràng
rang	˙ㄖㄤ	ɻɑŋ	jang⁵	.rhang	'rang	rang	rång	rang
rāo	ㄖㄠ	ɻɑʊ˥	jao¹	rhau	rau	rāu	rao	rāu
ráo	ㄖㄠˊ	ɻɑʊ˧˥	jao²	rau	raur	ráu	ráo	ráu
rǎo	ㄖㄠˇ	ɻɑʊ˨˩˦	jao³	rao	raau	rǎu	rǎo	rǎu
rào	ㄖㄠˋ	ɻɑʊ˥˩	jao⁴	raw	rauh	ràu	rào	ràu
rao	˙ㄖㄠ	ɻɑʊ	jao⁵	.rhau	'rau	rau	råo	rau
rē	ㄖㄜ	ɻɤ˥	je¹	rhe	re	rē	re	rē
ré	ㄖㄜˊ	ɻɤ˧˥	je²	re	rer	ré	ré	ré
rě	ㄖㄜˇ	ɻɤ˨˩˦	je³	ree	ree	rě	rě	rě
rè	ㄖㄜˋ	ɻɤ˥˩	je⁴	reh	reh	rè	rè	rè
re	˙ㄖㄜ	ɻɤ	je⁵	.rhe	're	re	re̊	re
rēn	ㄖㄣ	ɻən˥	jen¹	rhen	ren	rēn	ren	rēn
rén	ㄖㄣˊ	ɻən˧˥	jen²	ren	rern	rén	rén	rén
rěn	ㄖㄣˇ	ɻən˨˩˦	jen³	reen	reen	rěn	rěn	rěn
rèn	ㄖㄣˋ	ɻən˥˩	jen⁴	renn	rehn	rèn	rèn	rèn
ren	˙ㄖㄣ	ɻən	jen⁵	.rhen	'ren	ren	re̊n	ren
rēng	ㄖㄥ	ɻɤŋ˥	jeng¹	rheng	reng	rēng	reng	rēng
